Feature ID	Taxon	Consensus
11a1d90b8afdfc2b83f9f08edaa8d49d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae	0.818
11a6b51d394ef1a0e69bd5a3a8aeae96	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
11ca3f53cd36a65f1383b5a1ff9c9710	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor	0.7
11dc82144059d6fa4b58e51a5010e750	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales	0.6
12002304edd9ed4dc1a59e61bcb0fa97	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	0.9
122e7e9d1228413b87e290d59a98ecd6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	0.8
122f0898048f4e9e38e0e5f549e330c5	k__Fungi;p__Ascomycota;c__Dothideomycetes	0.7
122f7b50ff2b6d52e841afaf6d8eccfb	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.9
124e98db14ec3040e231163c6d303b85	Unassigned	1.0
1250a85f1a727c02c4063beb76adfe98	k__Fungi;p__Basidiomycota;c__Tremellomycetes	1.0
1258d5c25c0e2aff1897dd9be0373994	Unassigned	1.0
125e88641fd681ad1ff6383066266690	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;s__Sistotrema_sp	0.7
125f74432415760a4775f823d39c022b	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	1.0
127bbf12f188286f7ec140c1ac3d2a6b	Unassigned	1.0
127c23eb8da9541e96df5038db5aa55e	Unassigned	1.0
128257fe3333567eceab7d2e9b036d09	k__Fungi;p__Ascomycota;c__Dothideomycetes	0.667
128f18749613ca1e47046ae14597dfcf	Unassigned	1.0
12a0919c1cb58a319e0253270cc037d4	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis	0.7
12a1c4ae3c25e8e10c2a169772bb069c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae	0.556
12c9f3067c3fa120a84cedebe1ba11d7	k__Fungi;p__Ascomycota;c__Sordariomycetes	1.0
12f9101f2cc8817f138b10fecbda94e9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.6
13136c3edf6c27fe90f5c8ad57ce44bb	Unassigned	1.0
1315ead6628aa3827fb21d096051e739	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae	0.6
131d083f47ad831f936483629d574db4	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Lipomycetaceae	1.0
13280e2223dddd0c3202180344d9e322	Unassigned	1.0
133ba9365173b9bcd1c970a8e37380b6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae	0.6
13464e10f44b33e1cd9783365b5d1b23	k__Fungi;p__Ascomycota	1.0
135d6819dc2c1dd9c833c64d6db7e906	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.7
13cdd45b1a62d0d8c0c7f5e17ff5e209	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae	0.8
