Feature ID	Taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
12002304edd9ed4dc1a59e61bcb0fa97	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium			
122e7e9d1228413b87e290d59a98ecd6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia			
122f0898048f4e9e38e0e5f549e330c5	Fungi	Ascomycota	Dothideomycetes						
122f7b50ff2b6d52e841afaf6d8eccfb	Fungi	Basidiomycota	Tremellomycetes	Tremellales					
124e98db14ec3040e231163c6d303b85	Unassigned								
1250a85f1a727c02c4063beb76adfe98	Fungi	Basidiomycota	Tremellomycetes						
1258d5c25c0e2aff1897dd9be0373994	Unassigned								
125e88641fd681ad1ff6383066266690	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	Sistotrema_sp		
125f74432415760a4775f823d39c022b	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium			
127bbf12f188286f7ec140c1ac3d2a6b	Unassigned								
127c23eb8da9541e96df5038db5aa55e	Unassigned								
128257fe3333567eceab7d2e9b036d09	Fungi	Ascomycota	Dothideomycetes						
128f18749613ca1e47046ae14597dfcf	Unassigned								
12a0919c1cb58a319e0253270cc037d4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis				
12a1c4ae3c25e8e10c2a169772bb069c	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae				
12c9f3067c3fa120a84cedebe1ba11d7	Fungi	Ascomycota	Sordariomycetes						
12f9101f2cc8817f138b10fecbda94e9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae				
13136c3edf6c27fe90f5c8ad57ce44bb	Unassigned								
1315ead6628aa3827fb21d096051e739	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae				
