Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
1cfc24f7dc770fdc2488c51b9462214f	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Martiniozyma	Martiniozyma_asiatica	sh__SH1053512.09FU
1d6338e745fb4e12b02fe2407fdabe53	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Veronaea		
1d8ab88e24f28366dd4edd16b36c5e40	Fungi	Basiddiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Colacogloeaceae	Colacogloea		
1d91a261d23dd5fd372c202fcb5454c7	Fungi	Ascomycota	Lecanoromycetes	Ostropales				
1e31382455f3a06481caeca6dd1b61b1	Viridiplantae	Anthophyta	Eudicotyledonae	Fabales	Fabaceae	Glycine		
1e3e9e70fd8c11f94c4c58a8c83f1c2c	Fungi	Basiddiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon		
1f14596586bdaf2e6155bec2e17ad24c	Fungi	Ascomycota	Dothideomycetes	Pleosporales				
1f5c2b500fca7449c2d96ab3b29bea83	Viridiplantae	Anthophyta	Eudicotyledonae	Fagales	Fagaceae	Quercus		
1fa65c8125d9c429e1f7a6e6f7a2d0ea	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces		
1fbce04d7337b1ff3b6fb2afea96b696	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora		
1ffb65cf35e3b51418fc8402a304e03e	Fungi	Ascomycota	Dothideomycetes	Pleosporales				
20bb46be245d5370d6817d50bd6be95c	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia		
20d01ab32a6a1c091fc05612defd2d51	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae			
2173d43a8346a5e2b86ac50eb4b7f36d	Fungi	Basiddiomycota	Agaricomycetes	Agaricales				
